CVE_ID,Commit Message,Links in Message,Link Presence,PATCH
CVE-2018-1332,"Merge branch 'STORM-3027-1.x' of https://github.com/revans2/incubator-storm into 1.x-branch

STORM-3027: Make impersonation optional",https://github.com/revans2/incubator-storm,contains links,https://github.com/apache/storm/commit/58f7aefb8b9ffe77693669dbc94ee6446f3ed6e8
CVE-2017-5638,Uses default error key if specified key doesn't exist,,no links,https://github.com/apache/struts/commit/6b8272ce47160036ed120a48345d9aa884477228;https://github.com/apache/struts/commit/352306493971e7d5a756d61780d57a76eb1f519a
CVE-2019-12406,"Restrict the number of message attachments

(cherry picked from commit 6c3990144b56097502aa9f3ec9c06f3031109022)",,contains links,https://github.com/apache/cxf/commit/fd85803a73ad46f36816bcb55ed1c4f4b4c4312d
CVE-2021-39149,Switch to whitelist by default.,,no links,https://github.com/x-stream/xstream/commit/652d72f38b33938c54fd3b2ef626cb7dce38001c
CVE-2017-15691,"no Jira - fix various xml reader factories missing feature setups

git-svn-id: https://svn.apache.org/repos/asf/uima/uimaj/trunk@1809174 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/uima/uimaj/trunk@1809174,contains links,https://github.com/apache/uima-uimaj/commit/39909bf21fd694f4fb792d1de8adc72562ead25e
CVE-2019-0222,Better handle the case of parsing malformed MQTT frames,,no links,https://github.com/fusesource/mqtt-client/commit/2898f10be758decdc85ba6c523cb5be6b9092855
CVE-2018-8008,STORM-3052: Allow for blobs to be unzipped/untarred,,no links,https://github.com/apache/storm/commit/0fc6b522487c061f89e8cdacf09f722d3f20589
CVE-2021-23463,fix for #3195 CQLXML XXE vulnerability,https://github.com/h2database/h2database/issues/3195,contains links,https://github.com/h2database/h2database/commit/d83285fd2e48fb075780ee95badee6f5a15ea7f8
CVE-2017-5641,"- Made BlazeDS use the ClassDeserializationValidator as default validator, if no validator is provided.
- Adjusted the classes in the ClassDeserializationValidator default classes to explicitly list each class instead of using wildcards.

If you are getting errors, you need to explicitly list the classes you want to allow:

```
<services-config>
    <validators>
        <validator class=""flex.messaging.validators.ClassDeserializationValidator"">
            <properties>
                <allow-classes>
                    <class name=""remoting.amfclient.ClientCustomType""/>
                    <class name=""remoting.amfclient.ServerCustomType""/>
                    <class name=""my.package.*""/>
                </allow-classes>
            </properties>
        </validator>
    </validators>

    ... snip ...

</services-config>
```",,no links,https://github.com/apache/flex-blazeds/commit/f861f0993c35e664906609cad275e45a71e2aaf1
CVE-2018-8012,"NIFI-6578 - Upgraded zookeeper framework version. Some code changes required. This change also required a change to the embedded zookeeper.
- Updating tests to account for the new node /zookeeper/config
Upgraded Zookeeper and Curator versions for zookeeper migrator in toolkit. Updated tests to allow for new znode /zookeeper/config
- Added documentation changes to reflect changes to the zookeeper.properties file going foward.

This closes #3715.

Signed-off-by: Mark Payne <markap14@hotmail.com>",https://github.com/apache/nifi/pull/3715,contains links,https://github.com/apache/nifi/commit/282c271;https://github.com/apache/zookeeper/commit/8a06bd1ccef382461c7b0a63f2012f4aeac90753
CVE-2015-3269,Fix security issue due to local entity resolution issues in DocumentBuilder.,,no links,https://github.com/apache/flex-blazeds/commit/af405aa5974f8441873873ac6400dddc1039778e
CVE-2019-3797,"DATAJPA-1519 - Wildcard escaping in LIKE-queries.

Derived queries with `contains`, `startWith` or `endsWith` predicates now use wildcard escaping in order to avoid selecting more then requested. A function `escape(String, String)` is made available in SpEL expressions as well for the same purpose.

Note that annotated queries and derived queries with LIKE conditions don't get escaped because it is not clear if the use of wildcards in the argument is intended or not. Improved reference documentation accordingly.",,contains links,https://github.com/spring-projects/spring-data-jpa/commit/4d4e6d418fe3bca14c7cff1c7161e3794026f960
CVE-2021-38153,"MINOR: Use time constant algorithms when comparing passwords or keys (#10978)

Author: Randall Hauch <rhauch@gmail.com>
Reviewers: Manikumar Reddy <manikumar@confluent.io>, Rajini Sivaram <rajinisivaram@gmail.com>, Mickael Maison <mickael.maison@gmail.com>, Ismael Juma <ijuma@apache.org>",https://github.com/apache/kafka/pull/10978,contains links,https://github.com/apache/kafka/commit/3325342fecba56c2f5b28d60ca37605a7ebf420a
CVE-2016-3093,"Merge pull request #12 from danielfernandez/cachekey

Improved performance of getter/setter method caching in OgnlRuntime",https://github.com/orphan-oss/ognl/pull/12,contains links,https://github.com/jkuhnert/ognl/commit/ae43073fbf38db8371ff4f8bf2a966ee3b5f7e92
CVE-2012-0391,"WW-3668 - Vulnerability: User input is evaluated as an OGNL expression when there's a conversion error (a demonstrative patch).

git-svn-id: https://svn.apache.org/repos/asf/struts/struts2/trunk@1156279 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/struts/struts2/trunk@1156279,contains links,https://github.com/apache/struts/commit/5f54b8d087f5125d96838aafa5f64c2190e6885b;https://github.com/apache/struts/commit/b4265d369dc29d57a9f2846a85b26598e83f3892
CVE-2015-4852,"[COLLECTIONS-580] Removed serialization support for the identified unsafe classes in the collections4 branch.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/collections/trunk@1714262 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/commons/proper/collections/trunk@1714262,contains links,https://github.com/apache/commons-collections/commit/e585cd0433ae4cfbc56e58572b9869bd0c86b611
CVE-2020-13955,not found,,no links,https://github.com/apache/calcite/commit/f96ded319341fd3c1011b095565710938acb9ad6
CVE-2019-14832,[KEYCLOAK-10822] - Prevent access to users from another realm,,no links,https://github.com/keycloak/keycloak/commit/0b73685ccf3181115ae3936a578708630215ac23
CVE-2016-9878,"Normalize resource URL in ResourceServlet

Issue: SPR-14946",,no links,https://github.com/spring-projects/spring-framework/commit/e2d6e709c3c65a4951eb096843ee75d5200cfcad
CVE-2010-5327,LPS-64547,,no links,https://github.com/community-security-team/liferay-portal/commit/76aaec0256e98bce0c0542ab071d4cf5132e10ca
CVE-2019-0233,"Minor follow-up changes to PR #371
- added some additional exclusions in struts-default.xml.
- added log warning that specifies the value of maxLength involved if
  applyExpressionMaxLength(maxLength) fails.
- added null guards to two handleOgnlException() methods that could
  result in an NPE with #371 changes (a null OgnlException parameter
  was permissible previously, correct or not).",https://github.com/apache/struts/pull/371,contains links,https://github.com/apache/struts/commit/e2b644a4fbe31f0898008c2938069ef04f0f9124
CVE-2014-0095,"Correct regression introduced in 8.0.0-RC2 as part of the Servlet 3.1 non-blocking IO support that broke handling of requests with an explicit content length of zero.
This is the fix for CVE-2014-0095


git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1578392 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/tomcat/trunk@1578392,contains links,https://github.com/apache/tomcat/commit/1bd7d414983f2f420dd37e78b5f4686e737dd3e6;https://github.com/apache/tomcat/commit/8884dae
CVE-2019-3774,Tweak XmlInputFactory settings,,no links,https://github.com/spring-projects/spring-batch/commit/8dc3bb7d3c3d0b1487e3ef3dcbdebda865d2b20e
CVE-2011-2204,"Fix CVE-2011-2204.
Prevent user passwords appearing in log files if a runtime exception (e.g. OOME) occurs while creating a new user for a MemoryUserDatabase via JMX.

git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1140070 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/tomcat/trunk@1140070,contains links,https://github.com/apache/tomcat/commit/763a56b45999653ce648a18462b8a826809215b1;https://github.com/apache/tomcat/commit/0ecc4643938de4ed889e85952b30bf76ac92732c
CVE-2021-39153,Switch to whitelist by default.,,no links,https://github.com/x-stream/xstream/commit/652d72f38b33938c54fd3b2ef626cb7dce38001c
CVE-2016-2175,not found,,contains links,https://github.com/apache/pdfbox/commit/6f4a1fa0cd894ba3bbbe4a97ce11e23ec64f0d3a
CVE-2020-35210,not found,,contains links,https://github.com/atomix/atomix/commit/c9edd1b78d756f9ad25452daf0193d33ad539394
CVE-2014-0109,Update StaxInInterceptor to just create a html error message on the client side as the normal error handling works best on server side.,,no links,https://github.com/apache/cxf/commit/f8ed98e684c1a67a77ae8726db05a04a4978a445
CVE-2017-9803,"Create znode upfront and fix chroot handling in delegation token feature

(cherry picked from commit 065edbc)",,contains links,https://github.com/apache/lucene-solr/commit/4704efb1f92588ad106a39dea5f20bf8e80b133b;https://github.com/apache/lucene-solr/commit/b091934f9e98568b848d0584a1145c8e514cbd21
CVE-2021-22112,"Optimize HttpSessionSecurityContextRepository

Closes gh-9387",,contains links,https://github.com/spring-projects/spring-security/commit/c72a6fac04853912a4b7caad5f0500f2aace5a79
CVE-2021-36151,"[GOBBLIN-1392] Replacing unsafe File.createTempfile to java nio's Files.createTempFile

Closes #3230 from
treff7es/safe_temporary_file_creation",https://github.com/apache/gobblin/pull/3230,contains links,https://github.com/apache/gobblin/commit/520eca8938231494bddd5c477e07ec71c7da653f
CVE-2017-3166,"Treat encrypted files as private. Contributed by Daniel Templeton.

(cherry picked from commit f01a69f84f4cc7d925d078a7ce32e5800da4e429)
(cherry picked from commit 120f680318d766f44787fd0eec88270d61172523)",,contains links,https://github.com/apache/hadoop/commit/a47d8283b136aab5b9fa4c18e6f51fa799d91a29
CVE-2016-4461,Introduces new callMethod() function to be used to execute actions,,no links,https://github.com/apache/struts/commit/b28b78c062f0bf3c79793a25aab8c9b6c12bce6e
CVE-2017-5643,CAMEL-10894: Improve test fix,,contains links,https://github.com/apache/camel/commit/ec3d0db81ba061b27e934d5ff56e9baca0049eb;https://github.com/apache/camel/commit/8afc5d1757795fde715902067360af5d90f046d
CVE-2016-1000345,"modified IESEngine so that MAC check is the primary one
added general BadBlockException class for asymmetric ciphers.",,no links,https://github.com/bcgit/bc-java/commit/21dcb3d9744c83dcf2ff8fcee06dbca7bfa4ef35
CVE-2016-8746,"RANGER-1261: fix path matching inconsistencies and wildcard treatment

Signed-off-by: Madhan Neethiraj <madhan@apache.org>
(cherry picked from commit 22029847559b3881cdc3176b15e545e847ef6d7c)",,contains links,https://github.com/apache/ranger/commit/9dfde6de92799d7d923cf8eb11bbdc8788d6664c
CVE-2017-5644,not found,,contains links,https://github.com/apache/poi/commit/3a328aa220f6979f9805f658ae33244d153beaa7
CVE-2017-15700,SLING-7243 - Improve validation in AuthUtil.isRedirectValid,,contains links,https://github.com/apache/sling-org-apache-sling-auth-core/commit/015fe58b22e0625e9d88b687de50303db539482b
CVE-2016-0956,"SLING-4415 - :applyTo should not display changeLog (when operation fails)

git-svn-id: https://svn.apache.org/repos/asf/sling/trunk/bundles/servlets/post@1678892 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/sling/trunk/bundles/servlets/post@1678892,contains links,https://github.com/apache/sling/commit/0f1e85834761a128ab07ea04bd254e24b750ab80
CVE-2021-26296,"Merge pull request #149 from bohmber/MYFACES-4373-master

prefer secureRandom over random",https://github.com/apache/myfaces/pull/149,contains links,https://github.com/apache/myfaces/commit/95cbf6cbdf1e5d389d9509b48a7203f91acb41a1
CVE-2016-6346,"[RESTEASY-1484] (#947)

Disable GZIP by default; impose maximum file size.

[RESTEASY-1484]

Handle GZIP compression on client and server.",https://github.com/resteasy/resteasy/pull/947,contains links,https://github.com/resteasy/Resteasy/commit/2c2daab6f63ef9c9fb08251daf4a62e8aadc94e1
CVE-2018-1294,"Replaces end-of-line characters with spaces in email subjects.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/email/trunk@1801385 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/commons/proper/email/trunk@1801385,contains links,https://github.com/apache/commons-email/commit/0a944fe3703fb754c7122a7de98396811781da24
CVE-2017-8028,"Force reconnect with credentials on DefaultTlsDirContextAuthenticationStrategy

refs #430",https://github.com/spring-projects/spring-ldap/issues/430,contains links,https://github.com/spring-projects/spring-ldap/commit/08e8ae289bbd1b581986c7238604a147119c1336
CVE-2016-9879,"Block URL Encoded ""/"" in DefaultHttpFirewall

Fixes gh-4169",,contains links,https://github.com/spring-projects/spring-security/commit/666e356ebc479194ba51e43bb99fc42f849b6175;https://github.com/spring-projects/spring-security/commit/ed2ae21074b7850d386371b2ab9e29268ef2f0c0
CVE-2016-6802,"Added fix to adjust how the servlet context path is handled

Based on a thread from the Servlet Expert Group",,no links,https://github.com/apache/shiro/commit/b15ab927709ca18ea4a02538be01919a19ab65af
CVE-2018-1047,"Merge pull request #10748 from stuartwdouglas/WFLY-9620

WFLY-9620 ServletContext.getResourceAsStream, for deployments which h…",https://github.com/wildfly/wildfly/pull/10748,contains links,https://github.com/wildfly/wildfly/commit/735c77ce8b3bab6aa5072fb8575dc96db52d01ab
CVE-2017-12622,GEODE-3685: Fix test failure,,no links,https://github.com/apache/geode/commit/f6390a7;https://github.com/apache/geode/commit/db4a493efc09600bf0a9778d5274c09b23b16644
CVE-2021-22113,"Fix request verification (#3969)

* Add tests reproducing the issue.

* Strip `'` from path for route search.

* Add information on contributing, community support and commercial support to project site.

* Add checking for ""#"". Add logging.

* Add test.

* Revert ""Add test.""

This reverts commit 81875849

* Revert ""Add checking for ""#"". Add logging.""

This reverts commit 0232945a

* Verify for urls.

* Verify for encoded and double-encoded Strings.

* Verify insecure paths with `..\` and '..//'. Add more tests.",https://github.com/spring-cloud/spring-cloud-netflix/pull/3969,contains links,https://github.com/spring-cloud/spring-cloud-netflix/commit/8ecb3dca511c3ce0454e42ac31ee2331d7318c07
CVE-2014-0113,"Merge branch 'hotfix/2.3.16.2'

Conflicts:
	apps/blank/pom.xml
	apps/jboss-blank/pom.xml
	apps/mailreader/pom.xml
	apps/pom.xml
	apps/portlet/pom.xml
	apps/rest-showcase/pom.xml
	apps/showcase/pom.xml
	archetypes/pom.xml
	archetypes/struts2-archetype-angularjs/pom.xml
	archetypes/struts2-archetype-blank/pom.xml
	archetypes/struts2-archetype-convention/pom.xml
	archetypes/struts2-archetype-dbportlet/pom.xml
	archetypes/struts2-archetype-plugin/pom.xml
	archetypes/struts2-archetype-portlet/pom.xml
	archetypes/struts2-archetype-starter/pom.xml
	assembly/pom.xml
	bundles/admin/pom.xml
	bundles/demo/pom.xml
	bundles/pom.xml
	core/pom.xml
	core/src/main/resources/struts-default.xml
	plugins/cdi/pom.xml
	plugins/codebehind/pom.xml
	plugins/config-browser/pom.xml
	plugins/convention/pom.xml
	plugins/dojo/pom.xml
	plugins/dwr/pom.xml
	plugins/embeddedjsp/pom.xml
	plugins/gxp/pom.xml
	plugins/jasperreports/pom.xml
	plugins/javatemplates/pom.xml
	plugins/jfreechart/pom.xml
	plugins/jsf/pom.xml
	plugins/json/pom.xml
	plugins/junit/pom.xml
	plugins/osgi/pom.xml
	plugins/oval/pom.xml
	plugins/pell-multipart/pom.xml
	plugins/plexus/pom.xml
	plugins/pom.xml
	plugins/portlet-tiles/pom.xml
	plugins/portlet/pom.xml
	plugins/rest/pom.xml
	plugins/sitegraph/pom.xml
	plugins/sitemesh/pom.xml
	plugins/spring/pom.xml
	plugins/struts1/pom.xml
	plugins/testng/pom.xml
	plugins/tiles/pom.xml
	plugins/tiles3/pom.xml
	pom.xml
	xwork-core/pom.xml",,no links,https://github.com/apache/struts/commit/1be8ed61e499b58b3fb6a45253f47865f83f35fb
CVE-2020-1745,UNDERTOW-1667 Change AjpRequestParser to ignore unknown request attributes and add a new UndertowOption AJP_ALLOWED_REQUEST_ATTRIBUTES_PATTERN,,no links,https://github.com/undertow-io/undertow/commit/e60e04f4e9bab49f406c8c57770c4a1bbbc37067
CVE-2020-11995,"Hessian2 whitelist (#6378) (#6415)

* Hessian2 whitelist (#6378)

fixes #6364

* Hessian whitelist2 (#6423)

* double check lock (#6422)

* Correction: comments about multipleConfig (#6414)

Co-authored-by: ken.lj <ken.lj.hz@gmail.com>
Co-authored-by: diguage <leejun119@gmail.com>
Co-authored-by: 月泉 <yuequan1997@gmail.com>",https://github.com/apache/dubbo/pull/6378; https://github.com/apache/dubbo/pull/6415; https://github.com/apache/dubbo/issues/6364; https://github.com/apache/dubbo/pull/6423; https://github.com/apache/dubbo/pull/6422; https://github.com/apache/dubbo/pull/6414,contains links,https://github.com/apache/dubbo/commit/d2e9baf380108950c48e0ab700ccdbf11dd753ab
CVE-2020-1695,[RESTEASY-2559] Improper validation of response header in MediaTypeHeaderDelegate.java class,,no links,https://github.com/resteasy/Resteasy/commit/f3e354b72ae7fead9ceaabe172999293bd931822
CVE-2014-0193,"Remove ContinuationWebSocketFrame.aggregatedText()

Motivation:
Before we aggregated the full text in the WebSocket08FrameDecoder just to fill in the ContinuationWebSocketFrame.aggregatedText(). The problem was that there was no upper-limit and so it would be possible to see an OOME if the remote peer sends a TextWebSocketFrame + a never ending stream of ContinuationWebSocketFrames. Furthermore the aggregation does not really belong in the WebSocket08FrameDecoder, as we provide an extra ChannelHandler for this anyway (WebSocketFrameAggregator).

Modification:
Remove the ContinuationWebSocketFrame.aggregatedText() method and corresponding constructor. Also refactored WebSocket08FrameDecoder a bit to me more efficient which is now possible as we not need to aggregate here.

Result:
No more risk of OOME because of frames.",,no links,https://github.com/netty/netty/commit/787a85f9f1b816ee901c1ec00348ae2007bb9d3b;https://github.com/netty/netty/commit/8599ab5bdb761bb99d41a975d689f74c12e4892b
CVE-2022-23181,Make calculation of session storage location more robust,,no links,https://github.com/apache/tomcat/commit/70da1aaa51e0f9d088438e9d958812a144e12754
CVE-2019-10174,ISPN-9600 ReflectionUtil.invokeAccessibly should not be public,,no links,https://github.com/infinispan/infinispan/commit/a7dab68d194989aaa0b0aa0781cf8ee88fbe3439
CVE-2020-13444,June 2020,,no links,https://github.com/community-security-team/liferay-portal/commit/064e6b01afa1e087e4c6bbaf7f71c97ee33f3ee9
CVE-2016-8738,Trims input value,,no links,https://github.com/apache/struts/commit/554b9dddb0fbd1e581ef577dd62a7c22955ad0f6
CVE-2018-1000531,Fixing issue #3 and adding tests to confirm.,https://github.com/FusionAuth/fusionauth-jwt/issues/3,contains links,https://github.com/inversoft/prime-jwt/commit/abb0d479389a2509f939452a6767dc424bb5e6ba
CVE-2021-28168,"switching to NIO tmp file creation approach (#4712)

Signed-off-by: Maxim Nesen <maxim.nesen@oracle.com>",https://github.com/eclipse-ee4j/jersey/pull/4712,contains links,https://github.com/eclipse-ee4j/jersey/commit/f3cadb38dcc5b20e515706fae68dce533ad6c737
CVE-2017-11467,Fix vulnerability in SQL for queries on OUser/ORole without the privileges,,no links,https://github.com/orientechnologies/orientdb/commit/200535c3183f7db88ee4526bf3316d6bdeddb68e
CVE-2020-26234,"Re-Enable Hostname Verification

This patch is a minimal change to re-enable HTTPS hostname verification
of Opencast's HTTP client used for a large portion its HTTP requests.

Hostname verification is an important part when using HTTPS to ensure
that the presented certificate is valid for the host. Disabling it can
allow for man-in-the-middle attacks.",,no links,https://github.com/opencast/opencast/commit/4225bf90af74557deaf8fb6b80b0705c9621acfc
CVE-2018-1002201,"Fixed potential security vulnerability reported by Snyk Security Research Team

This is an arbitrary file write vulnerability, that can be achieved using a specially crafted zip archive, that holds path traversal filenames. So when the filename gets concatenated to the target extraction directory, the final path ends up outside of the target folder.",,no links,https://github.com/zeroturnaround/zt-zip/commit/759b72f33bc8f4d69f84f09fcb7f010ad45d6fff
CVE-2021-41767,GUACAMOLE-956: Decouple tunnel UUID from HTTP tunnel session identification.,,no links,https://github.com/apache/guacamole-client/commit/0597358dde292d739809cd7426e0b55921372ccf
CVE-2018-17187,PROTON-1962: update some defaults and related handling,,no links,https://github.com/apache/qpid-proton-j/commit/0cb8ca03cec42120dcfc434561592d89a89a805e
CVE-2016-4437,"Force RememberMe cipher to be set to survive JVM restart.

If the property is not set, a new cipher will be generated.",,no links,https://github.com/apache/shiro/commit/64d9f8341e1aa7ef1a29744e16ea7c578ca5deee;https://github.com/apache/shiro/commit/4d5bb000a7f3c02d8960b32e694a565c95976848
CVE-2018-17297,fix path problem,,no links,https://github.com/looly/hutool/commit/9f8a801c7b98b75ee681c0988e1a58bcfdc21756;https://github.com/looly/hutool/commit/fed1a1f747a9308e2f65f8dbbff05ce62478ecc0;https://github.com/looly/hutool/commit/8d7d0b7fb5ea4f7447b40131bffc1ec506a6528e
CVE-2020-11971,"Merge pull request #3692 from apache/CAMEL-14811

CAMEL-14811 - Remove JMX Connector configuration",https://github.com/apache/camel/pull/3692,contains links,https://github.com/apache/camel/commit/36b55f9cfa50a2056c70f98d66c29a95ddc724e1
CVE-2018-1002200,"Merge pull request #87 from odinn1984/fix/fail_on_outside_target_files

fix: fail when trying to extract outside of dest dir",https://github.com/codehaus-plexus/plexus-archiver/pull/87,contains links,https://github.com/codehaus-plexus/plexus-archiver/commit/f8f4233508193b70df33759ae9dc6154d69c2ea8
CVE-2011-2894,"added ""acceptProxyClasses"" flag to RemoteInvocationSerializingExporter",,no links,https://github.com/spring-projects/spring-framework/commit/070a723ef2c886770a063eb9a67f84f74e06edfb
CVE-2019-0187,not found,,contains links,https://github.com/apache/jmeter/commit/a82907030db158e00d681dc5f5330085951535f3
CVE-2020-11969,Update to ActiveMQ 5.15.12,,no links,https://github.com/apache/tomee/commit/17168ad95e35f1758e16364c2398dea10a4034d8
CVE-2020-5408,"BCryptPasswordEncoder rawPassword cannot be null

Closes gh-8317",,contains links,https://github.com/spring-projects/spring-security/commit/3c81e122bdfcd0803fb6331a8625624cae249231
CVE-2016-4993,UNDERTOW-827 WFLY-6760 CVE-2016-4993 wildfly: HTTP header injection / response splitting,,contains links,https://github.com/undertow-io/undertow/commit/5d017ce12d075679822104e8a8a3b1ad98abad86
CVE-2020-28052,corrected constant time equals.,,no links,https://github.com/bcgit/bc-java/commit/97578f9b7ed277e6ecb58834e85e3d18385a4219
CVE-2017-7675,"Fix https://bz.apache.org/bugzilla/show_bug.cgi?id=61120
Do not ignore path parameters when processing HTTP/2 requests.

git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1796090 13f79535-47bb-0310-9956-ffa450edef68",https://bz.apache.org/bugzilla/show_bug.cgi?id=61120; https://svn.apache.org/repos/asf/tomcat/trunk@1796090,contains links,https://github.com/apache/tomcat/commit/cf181edc9a8c239cde704cffc3c503425bdcae2b
CVE-2013-2186,"When deserializing DiskFileItems ensure that the repository location, if any, is a valid one.
Patch provided by Arun Babu Neelicattu.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/fileupload/trunk@1507048 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/commons/proper/fileupload/trunk@1507048,contains links,https://github.com/apache/commons-fileupload/commit/163a6061fbc077d4b6e4787d26857c2baba495d1;https://github.com/apache/commons-fileupload/commit/7ddc7a176eadf22ab7ee1881a80b768e4b193727
CVE-2014-6439,"CORS: Disable by default

In order to deliver a more secure out-of-the-box configuration this commit
disables cross-origin resource sharing by default.

Closes #7151",https://github.com/elastic/elasticsearch/issues/7151,contains links,https://github.com/elastic/elasticsearch/commit/f9de8b65898509e038e33215db0720b508477a12
CVE-2019-10094,prep for 1.22,,no links,https://github.com/apache/tika/commit/c4e63c9be8665cccea8b680c59a6f5cfbc03e0fc;https://github.com/apache/tika/commit/1158d893dc952c573f7a12c7e4855cdce479fc2a;https://github.com/apache/tika/commit/22ff7564f2641ba195f192d7c59e9df4a3a10747;https://github.com/apache/tika/commit/b8655aad5efaef1c5d266676350f58743770fb5b;https://github.com/apache/tika/commit/426be73b9e7500fa3d441231fa4e473de34743f6
CVE-2021-41561,not found,,no links,https://github.com/apache/parquet-mr/commit/d022451f5e58e86b39f0a312d6251a0dc6bb7468
CVE-2019-17563,Refactor so Principal is never cached in session with cache==false,,no links,https://github.com/apache/tomcat/commit/ab72a10
CVE-2019-17513,Enable HTTP header validation,,no links,https://github.com/ratpack/ratpack/commit/efb910d38a96494256f36675ef0e5061097dd77d
CVE-2021-22044,Block clas-level request mapping on Feign clients.,,no links,https://github.com/spring-cloud/spring-cloud-openfeign/commit/d6783a6f1ec8dd08fafe76ecd072913d4e6f66b9
CVE-2018-1000125,"Fixes Issue #2, bug exists that allows a JWT to be decoded even when no signature is provided.",https://github.com/FusionAuth/fusionauth-jwt/issues/2,contains links,https://github.com/inversoft/prime-jwt/commit/0d94dcef0133d699f21d217e922564adbb83a227
CVE-2019-19343,[REM3-347][JBEAP-16695][GSS](7.2.z) Make sure that original connection close listener is invoked by RemoteReadListener,,no links,https://github.com/jboss-remoting/jboss-remoting/commit/8df8d2c6335fd79ac3d350a8714a1bee67fb7d2f
CVE-2018-14642,UNDERTOW-1430 problem with renegotiation code,,no links,https://github.com/undertow-io/undertow/commit/dc22648efe16968242df5d793e3418afafcb36c0;https://github.com/undertow-io/undertow/commit/c46b7b49c5a561731c84a76ee52244369af1af8a
CVE-2011-3190,"Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=51698
Fix CVE-2011-3190
Prevent AJP request forgery via unread request body packet

git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1162957 13f79535-47bb-0310-9956-ffa450edef68",https://issues.apache.org/bugzilla/show_bug.cgi?id=51698; https://svn.apache.org/repos/asf/tomcat/trunk@1162957,contains links,https://github.com/apache/tomcat/commit/a2538ce78f83b7376c48d12d8247600079d789b1;https://github.com/apache/tomcat70/commit/90ec9675fa080e22df5f9e3e7019a19eb2faec14
CVE-2010-1157,"Fix CVE-2010-1157.
Prevent possible disclosure of host name or IP address via the HTTP WWW-Authenticate header when using BASIC or DIGEST authentication.

git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@936539 13f79535-47bb-0310-9956-ffa450edef68",https://svn.apache.org/repos/asf/tomcat/trunk@936539,contains links,https://github.com/apache/tomcat/commit/a4de93b2aaf74fff7c1e194f7ce3d2228a9680b8;https://github.com/apache/tomcat/commit/db32c25e06e1b0a5a274cad4cfc1ad35ff7c0e9a
CVE-2020-10688,"RESTEASY-2519 (#2320)

* RESTEASY-2519

* update",https://github.com/resteasy/resteasy/pull/2320,contains links,https://github.com/resteasy/Resteasy/commit/caef05ade16fd12c581cbc7177c191b87591757c
CVE-2017-15703,"NIFI-4353
- Added XmlUtils class.
- Added unit test.
- Added XXE test resource.
- Refactored JAXB unmarshalling globally to prevent XXE attacks.
- Refactored duplicated/legacy code.
- Cleaned up commented code.
- Switched from FileInputStream back to StreamSource in AuthorizerFactoryBean.
- This closes #2134",https://github.com/apache/nifi/pull/2134,contains links,https://github.com/apache/nifi/commit/9e2c7be7d3c6a380c5f61074d9a5a690b617c3dc
CVE-2019-0231,Backported changes made in 2.1,,no links,https://github.com/apache/mina/commit/294b8ce638df6e237e819537b333e02853bb612c
CVE-2019-17573,"Make sure to escape URLs returned in the services listing

(cherry picked from commit 4ca5f7b92175edab46d1f1ea4e829a3ac4e9c7f2)",,contains links,https://github.com/apache/cxf/commit/a02e96ba1095596bef481919f16a90c5e80a92c8
CVE-2011-1475,"Move the processor.recycle calls to just before the point where the processor is returned to the pool. This ensures returned processors are recycled (this could have been skipped on some exception paths)
Possible contributing factor to https://issues.apache.org/bugzilla/show_bug.cgi?id=50957 ?
This is part of the fix for CVE-2011-1475

git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1086349 13f79535-47bb-0310-9956-ffa450edef68",https://issues.apache.org/bugzilla/show_bug.cgi?id=50957; https://svn.apache.org/repos/asf/tomcat/trunk@1086349,contains links,https://github.com/apache/tomcat/commit/df3b24b87f8d2e6a5f4fea57f687e76a0f5124d7
CVE-2018-8030,"QPID-8203: [Broker-J][AMQP 0-9] Fix maximum message size check

(cherry picked from commit 025b48f3193e2b10b1c41d2bc3bcfc9cfc238a27)",,contains links,https://github.com/apache/qpid-broker-j/commit/881323e56620ea069d52885842652a6fbf3403c0
